Timestamp,Sender,Receiver,Two_Way_Latency_ms
2026-08-12 12:46:55,192.168.103.10,192.168.101.10,1.995
2026-08-12 12:47:06,192.168.101.10,192.168.103.10,2.406
2026-08-12 12:47:06,192.168.103.10,192.168.101.10,2.021
2026-08-12 12:47:06,192.168.101.10,192.168.103.10,1.931
2026-08-12 12:47:06,192.168.103.10,192.168.101.10,2.233
2026-08-12 12:47:06,192.168.101.10,192.168.103.10,2.064
2026-08-12 12:47:06,192.168.103.10,192.168.101.10,2.104
2026-08-12 12:47:06,192.168.103.10,192.168.101.10,1.849
2026-08-12 12:47:16,192.168.101.10,192.168.103.10,86.249
2026-08-12 12:47:16,192.168.103.10,192.168.101.10,1.586
2026-08-12 12:47:16,192.168.101.10,192.168.103.10,1.680
2026-08-12 12:47:16,192.168.103.10,192.168.101.10,1.795
2026-08-12 12:47:16,192.168.101.10,192.168.103.10,1.596
2026-08-12 12:47:16,192.168.103.10,192.168.101.10,1.896
2026-08-12 12:47:23,192.168.101.10,192.168.103.10,2.175
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,2.389
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,2.287
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,1.935
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,2.047
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,2.127
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,1.763
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,1.947
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,1.868
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,1.846
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,1.521
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,1.693
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,-55.501
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,-55.295
2026-08-12 12:47:37,192.168.101.10,192.168.103.10,-55.434
2026-08-12 12:47:37,192.168.103.10,192.168.101.10,-56.701
