Timestamp,Sender,Receiver,Two_Way_Latency_ms
2026-07-28 15:19:06,192.168.101.10,192.168.102.10,2.433
2026-07-28 15:19:07,192.168.101.10,192.168.102.10,2.186
2026-07-28 15:19:08,192.168.101.10,192.168.102.10,2.174
2026-07-28 15:19:09,192.168.101.10,192.168.102.10,2.224
2026-07-28 15:19:37,192.168.102.10,192.168.101.10,2.131
2026-07-28 15:19:38,192.168.102.10,192.168.101.10,2.231
2026-07-28 15:19:39,192.168.102.10,192.168.101.10,2.283
2026-07-28 15:19:40,192.168.102.10,192.168.101.10,2.300
2026-07-28 15:19:41,192.168.102.10,192.168.101.10,2.290
2026-07-28 15:19:42,192.168.102.10,192.168.101.10,2.365
2026-07-28 15:20:00,192.168.103.10,192.168.104.10,1.153
2026-07-28 15:20:01,192.168.103.10,192.168.104.10,1.734
2026-07-28 15:20:02,192.168.103.10,192.168.104.10,1.632
2026-07-28 15:20:03,192.168.103.10,192.168.104.10,1.701
2026-07-28 15:20:04,192.168.103.10,192.168.104.10,1.618
2026-07-28 15:20:05,192.168.103.10,192.168.104.10,1.689
2026-07-28 15:20:06,192.168.103.10,192.168.104.10,1.834
2026-07-28 15:20:07,192.168.103.10,192.168.104.10,1.706
2026-07-28 15:20:08,192.168.103.10,192.168.104.10,1.665
2026-07-28 15:20:13,192.168.103.10,192.168.102.10,0.924
2026-07-28 15:20:14,192.168.103.10,192.168.102.10,1.516
2026-07-28 15:20:15,192.168.103.10,192.168.102.10,1.730
2026-07-28 15:20:16,192.168.103.10,192.168.102.10,1.772
2026-07-28 15:20:17,192.168.103.10,192.168.102.10,1.660
2026-07-28 15:20:23,192.168.103.10,192.168.101.10,1.906
2026-07-28 15:20:24,192.168.103.10,192.168.101.10,2.227
2026-07-28 15:20:25,192.168.103.10,192.168.101.10,2.205
2026-07-28 15:20:26,192.168.103.10,192.168.101.10,2.415
2026-07-28 15:20:27,192.168.103.10,192.168.101.10,2.194
2026-07-28 15:20:40,192.168.104.10,192.168.103.10,1.697
2026-07-28 15:20:41,192.168.104.10,192.168.103.10,1.695
2026-07-28 15:20:42,192.168.104.10,192.168.103.10,1.712
2026-07-28 15:20:46,192.168.104.10,192.168.102.10,1.255
2026-07-28 15:20:47,192.168.104.10,192.168.102.10,1.050
2026-07-28 15:20:48,192.168.104.10,192.168.102.10,1.629
2026-07-28 15:20:49,192.168.104.10,192.168.102.10,1.525
2026-07-28 15:20:50,192.168.104.10,192.168.102.10,1.487
2026-07-28 15:20:55,192.168.104.10,192.168.101.10,1.645
2026-07-28 15:20:56,192.168.104.10,192.168.101.10,2.180
2026-07-28 15:20:57,192.168.104.10,192.168.101.10,2.220
2026-07-28 15:20:58,192.168.104.10,192.168.101.10,2.234
2026-07-28 15:20:59,192.168.104.10,192.168.101.10,2.194
2026-07-28 15:21:38,192.168.104.10,192.168.102.10,1.613
2026-07-28 15:21:38,192.168.104.10,192.168.102.10,0.921
2026-07-28 15:21:38,192.168.102.10,192.168.104.10,1.004
2026-07-28 15:21:38,192.168.104.10,192.168.102.10,1.257
2026-07-28 15:21:38,192.168.102.10,192.168.104.10,1.071
2026-07-28 15:21:38,192.168.102.10,192.168.104.10,1.270
2026-07-28 15:21:52,192.168.104.10,192.168.102.10,0.507
2026-07-28 15:21:52,192.168.104.10,192.168.102.10,0.796
2026-07-28 15:22:17,192.168.104.10,192.168.102.10,1.682
2026-07-28 15:22:17,192.168.104.10,192.168.102.10,1.067
2026-07-28 15:22:17,192.168.102.10,192.168.104.10,1.013
2026-07-28 15:22:17,192.168.104.10,192.168.102.10,1.223
2026-07-28 15:22:17,192.168.102.10,192.168.104.10,0.816
2026-07-28 15:22:17,192.168.102.10,192.168.104.10,0.508
2026-07-28 15:22:17,192.168.104.10,192.168.102.10,0.645
2026-07-28 15:22:17,192.168.102.10,192.168.104.10,36028.077
2026-07-28 15:22:17,192.168.104.10,192.168.102.10,34490.865
