TIMESTAMP 0.0
# src dst bandwidth_mbps loss_rate
0 1 6.68 0.0205
0 2 4.51 0.0181
0 3 2.07 0.0128
0 4 8.86 0.0083
0 5 5.82 0.0064
0 6 2.58 0.0294
0 7 3.78 0.0005
0 8 2.35 0.0144
0 9 7.19 0.025
0 10 3.78 0.0242
0 11 9.15 0.0116
0 12 9.09 0.0282
0 13 5.75 0.0027
0 14 3.91 0.0011
0 15 4.69 0.0133
0 16 4.61 0.0022
0 17 8.91 0.0246
0 18 9.83 0.0186
0 19 8.33 0.0239
1 2 4.32 0.0217
1 3 9.52 0.0268
1 4 4.53 0.0164
1 5 7.92 0.0172
1 6 2.15 0.0028
1 7 7.06 0.0159
1 8 9.23 0.0055
1 9 6.81 0.0182
1 10 4.91 0.0157
1 11 8.07 0.0224
1 12 3.63 0.0123
1 13 6.01 0.0154
1 14 4.12 0.0115
1 15 8.79 0.0273
1 16 6.26 0.0253
1 17 2.32 0.0206
1 18 9.06 0.0238
1 19 5.04 0.0116
2 3 2.76 0.0232
2 4 8.4 0.0071
2 5 9.38 0.0066
2 6 7.16 0.0238
2 7 3.51 0.0259
2 8 6.48 0.0114
2 9 7.78 0.0085
2 10 9.0 0.0166
2 11 3.26 0.0082
2 12 4.25 0.0274
2 13 6.38 0.0085
2 14 5.92 0.0032
2 15 3.78 0.0042
2 16 3.38 0.0275
2 17 6.88 0.0221
2 18 7.18 0.0104
2 19 8.16 0.0215
3 4 7.71 0.0147
3 5 8.85 0.0078
3 6 8.41 0.0049
3 7 6.5 0.0151
3 8 8.61 0.0107
3 9 5.74 0.008
3 10 6.95 0.0032
3 11 8.09 0.0009
3 12 8.7 0.0272
3 13 5.79 0.0217
3 14 3.93 0.0008
3 15 5.58 0.0249
3 16 9.0 0.0004
3 17 7.18 0.0293
3 18 5.61 0.0218
3 19 9.16 0.0106
4 5 8.71 0.0083
4 6 7.02 0.0038
4 7 2.73 0.0139
4 8 2.05 0.0041
4 9 4.83 0.008
4 10 3.63 0.0126
4 11 7.23 0.017
